source,target,value,shortname 
Acquisition,Allegheny County,2969649.48,R
Acquisition,Beaver County,226185.51,D
Acquisition,Berks County,284689.4,R
Acquisition,Bucks County,0,R
Acquisition,Chester County,327045.83,R
Acquisition,Cumberland County,0,R
Acquisition,Dauphin County*,248650.98,D
Acquisition,Delaware County,142501.25,D
Acquisition,Lancaster County,649892.54,D
Acquisition,Lehigh County,1015153.65,D
Acquisition,Luzerne County,314853.16,R
Acquisition,Montgomery County*,0,R
Acquisition,Northhampton County,39252.11,R
Acquisition,Washington County,453320.11,R
Acquisition,Westmoreland County,211594.93,D
Acquisition,York County,82166.37,D
Acquisition,Blair County,270239.25,R
Acquisition,Erie County Total,242116.56,D
Acquisition,Cambria County,216650.68,R
Acquisition,Lebanon County,0,D
Acquisition,Philadelphia County,1577428.17,R
Acquisition,Lackawanna County,116389.31,R
Acquisition,Mercer County,44440.34,R
Acquisition,Centre County,0,R
Acquisition,Lycoming County,9761.29,D
Economic Development,Allegheny County,4477779.06,D
Economic Development,Beaver County,232689.1,D
Economic Development,Berks County,256833.98,D
Economic Development,Bucks County,4977063.43,R
Economic Development,Chester County,0,R
Economic Development,Cumberland County,366400,R
Economic Development,Dauphin County*,0,R
Economic Development,Delaware County,0,D
Economic Development,Lancaster County,5000,D
Economic Development,Lehigh County,28248.7,R
Economic Development,Luzerne County,373582.18,D
Economic Development,Montgomery County*,77237.21,R
Economic Development,Northhampton County,304450.26,D
Economic Development,Washington County,0,R
Economic Development,Westmoreland County,0,R
Economic Development,York County,0,R
Economic Development,Blair County,0,R
Economic Development,Erie County Total,15867.9,D
Economic Development,Cambria County,115543.91,D
Economic Development,Lebanon County,0,D
Economic Development,Philadelphia County,7145544.82,D
Economic Development,Lackawanna County,40000,R
Economic Development,Mercer County,0,R
Economic Development,Centre County,0,R
Economic Development,Lycoming County,0,R
Housing,Allegheny County,4083743.67,D
Housing,Beaver County,815969.05,D
Housing,Berks County,589674.81,R
Housing,Bucks County,5489387.53,D
Housing,Chester County,156123.4,R
Housing,Cumberland County,257187.76,D
Housing,Dauphin County*,1165811.16,R
Housing,Delaware County,1438161.65,R
Housing,Lancaster County,3159448.96,R
Housing,Lehigh County,3771691.59,R
Housing,Luzerne County,208046.1,D
Housing,Montgomery County*,1196728.63,D
Housing,Northhampton County,608294.56,D
Housing,Washington County,1243578.65,D
Housing,Westmoreland County,127500.88,R
Housing,York County,748368.54,R
Housing,Blair County,563457.77,R
Housing,Erie County Total,1449736.63,R
Housing,Cambria County,543838.71,D
Housing,Lebanon County,83967.81,D
Housing,Philadelphia County,17389320.43,R
Housing,Lackawanna County,126445.92,D
Housing,Mercer County,359433.57,R
Housing,Centre County,46165.66,D
Housing,Lycoming County,52830.74,R
Public Facilities,Allegheny County,9850103.82,R
Public Facilities,Beaver County,646422.83,R
